FECHA,TONELADAS DISPUESTAS,ACUMULADO,LUGAR DE ORIGEN,LUGAR DE DISPOSICIÓN
08/09/2024 12:00:00 AM,8.45,913.44,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/10/2024 12:00:00 AM,5.54,918.98,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/12/2024 12:00:00 AM,7.62,926.6,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/12/2024 12:00:00 AM,3.92,930.52,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/16/2024 12:00:00 AM,8.28,938.8,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/16/2024 12:00:00 AM,6.85,945.65,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/20/2024 12:00:00 AM,8.02,953.67,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/21/2024 12:00:00 AM,7.36,961.03,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/21/2024 12:00:00 AM,4.15,965.18,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/23/2024 12:00:00 AM,7.21,972.39,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/24/2024 12:00:00 AM,4.24,976.63,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/26/2024 12:00:00 AM,7.05,983.68,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/27/2024 12:00:00 AM,3.52,987.2,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/30/2024 12:00:00 AM,8.57,995.77,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
08/31/2024 12:00:00 AM,4.85,1000.62,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/02/2024 12:00:00 AM,7.38,1008,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/03/2024 12:00:00 AM,3.75,1011.75,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/04/2024 12:00:00 AM,6,1017.75,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/06/2024 12:00:00 AM,8.53,1026.28,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
09/07/2024 12:00:00 AM,4.57,1030.85,Santuario,Relleno La Glorita ATESA DE 0CCIDENTE PEREIRA
