TIPO,NOMBRE,SECTOR,CODCUE,CUENCA,CODSCUE,SUBCUENCA,CODMCUE,MICROCUENCA,VOLUMEN,OBSERVACION,IDTABINV,CODHIDRO,OBJECTID,AMBIENTEHidrografia_CAguAREA
603,Laguna 6 Sector Q. Piedra Gorda,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200609,Río Curubital,,,,21200609507,410,408.62263897
603,Laguna,RURAL,3503,Río Guatiquía,,ND,,ND,,,,,411,2627.95212623
601,Río Curubital,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200609,Río Curubital,,,,21200609001,412,129577.1882415
604,Humedal Terreros,RURAL,2120,Río Bogotá,212017,Río Soacha,,ND,,Delimitación no oficial,,,413,204038.11452159
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,414,303.6959223
603,Laguna 3 Sector R. Curubital,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200609,Río Curubital,,,,21200609497,415,1260.75213001
603,Laguna,RURAL,3503,Río Guatiquía,350303,Río Guatiquía,,ND,,,,,416,3699.8195679
603,Laguna 1 Sector Q. Cuevecitas,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200606,Interfluvios Río Chisaca,,,,21200606152,417,448.6572426
603,Laguna 2 Sector R. Chisacá,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200607,Río Chisacá,,,,21200607515,418,242.0580193
603,Laguna,RURAL,3503,Río Guatiquía,350301,Río Chuza - Embalse de Chuza,,ND,,,,,419,17013.66101621
601,Río Chochal,RURAL,3502,Río Guayuriba,350223,Río Chochal,,ND,,,,,420,275540.13252041
601,Río Chuza,RURAL,3503,Río Guatiquía,350301,Río Chuza - Embalse de Chuza,,ND,,,,,421,60248.03630781
603,Lago Club Pueblo Viejo 12,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,422,3191.78641134
601,Río Negro,RURAL,2119,Río Sumapaz,211914,Río Negro,,ND,,,,,423,328257.43732408
603,Lago Club El Rancho 4,RURAL DC,2120,Río Bogotá,212022,Torca,21202203,Canal Torca,,,,21202203008,424,3750.73347747
603,Laguna Chingaza,RURAL,3503,Río Guatiquía,350303,Río Guatiquía,,ND,, Area M2: 1157374,,,425,1157420.71006122
603,Laguna,RURAL,3502,Río Guayuriba,350218,Río Pontezuela,,ND,,,,,426,552.6808998
601,Río Taquecito,RURAL,3502,Río Guayuriba,350217,Río Santa Rosa,,ND,,,,,427,49656.09068033
603,Laguna 3 Sector R. Chisacá,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200607,Río Chisacá,,,,21200607519,428,828.26049813
605,Embalse del Muña,RURAL,2120,Río Bogotá,212005,Embalse del Muña,,ND,,Vol M3: 102700000 Area M2: 5964865,,,429,5964843.83820272
601,Río Taguate,RURAL,3502,Río Guayuriba,350243,Río Blanco y Directos,,ND,, Area M2: 2064507,,,430,2064517.00876266
603,Lago Club Los Buhos 4,RURAL DC,2120,Río Bogotá,212022,Torca,21202203,Canal Torca,,,,21202203005,431,645.67467064
603,Laguna sector Q. Laches,RURAL DC,2120,Río Bogotá,212020,Fucha,21202007,Quebrada Laches,,,,21202007024,432,228.81851436
603,Laguna 3 Sector Q. Piedra Gorda,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200609,Río Curubital,,,,21200609504,433,703.36120312
603,Laguna 6 Sector R. Curubital,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200609,Río Curubital,,,,21200609500,434,487.36279314
601,Río Chiquito,RURAL,3502,Río Guayuriba,350229,Río Chiquito,,ND,,,,,435,438030.25427772
603,Lago Club El Rancho 2,RURAL,2120,Río Bogotá,212007,Sector Tibitoc - Soacha,,ND,,,,,436,4042.44256958
603,Laguna,RURAL,3503,Río Guatiquía,350303,Río Guatiquía,,ND,,,,,437,15861.26418358
603,Laguna,RURAL,2120,Río Bogotá,212009,Embalse Tominé,,ND,,,,,438,23405.40285195
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,439,2261.00218813
603,Laguna,RURAL,3502,Río Guayuriba,350218,Río Pontezuela,,ND,,,,,440,5028.32423089
606,Quebrada Danta,RURAL,3504,Río Guacavía,,ND,,ND,,,,,441,106431.82116511
603,Laguna 3 Sector Olarte,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200604,Río Tunjuelo Alto,,,,21200604286,442,212.43465133
603,Laguna 3 Sector Santa Barbara,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200604,Río Tunjuelo Alto,,,,21200604275,443,348.95769055
